TransactionID,MemberID,ItemDescription
1,895,Lettuce
1,895,Cheese
1,895,Chips
1,895,Bananas
1,895,Eggs
2,940,Eggs
3,274,Rice
4,880,Rice
4,880,Diaper
5,209,Juice
5,209,Cereal
5,209,Beer
5,209,Rice
6,799,Yogurt
6,799,Juice
6,799,Diaper
6,799,Cheese
7,419,Chips
8,500,Butter
8,500,Rice
8,500,Chips
8,500,Bananas
8,500,Apples
9,610,Yogurt
10,526,Beer
10,526,Diaper
10,526,Chips
11,90,Pasta
11,90,Tomatoes
11,90,Cheese
12,865,Juice
12,865,Eggs
12,865,Diaper
12,865,Lettuce
12,865,Pasta
13,962,Milk
13,962,Bread
13,962,Chicken
14,292,Juice
14,292,Rice
14,292,Water
14,292,Yogurt
15,114,Rice
16,81,Beer
16,81,Rice
16,81,Chips
16,81,Diaper
17,127,Butter
17,127,Diaper
17,127,Tomatoes
17,127,Apples
17,127,Cola
18,323,Apples
18,323,Bananas
18,323,Cola
18,323,Rice
18,323,Water
19,30,Pasta
19,30,Apples
19,30,Yogurt
19,30,Bread
20,375,Cola
20,375,Chips
20,375,Bananas
20,375,Pasta
20,375,Apples
21,318,Tomatoes
22,478,Eggs
22,478,Yogurt
22,478,Apples
22,478,Juice
23,22,Bread
23,22,Diaper
23,22,Cola
24,68,Milk
24,68,Cola
24,68,Beer
25,323,Cheese
25,323,Butter
25,323,Beer
25,323,Rice
26,431,Eggs
27,318,Chips
27,318,Yogurt
27,318,Beer
28,784,Pasta
28,784,Water
29,701,Cola
29,701,Eggs
29,701,Juice
30,585,Cereal
30,585,Tomatoes
30,585,Rice
31,947,Yogurt
32,775,Chicken
33,916,Lettuce
33,916,Diaper
34,587,Juice
34,587,Cheese
34,587,Chips
34,587,Apples
34,587,Tomatoes
35,792,Bread
35,792,Bananas
35,792,Butter
35,792,Tomatoes
35,792,Cereal
36,965,Tomatoes
36,965,Pasta
36,965,Beer
36,965,Butter
37,248,Bread
37,248,Beer
37,248,Diaper
38,719,Milk
38,719,Lettuce
38,719,Bread
38,719,Cola
39,357,Water
39,357,Bread
40,374,Bread
40,374,Yogurt
40,374,Beer
41,833,Butter
41,833,Pasta
41,833,Juice
41,833,Water
41,833,Diaper
42,926,Cheese
43,35,Beer
43,35,Rice
44,911,Pasta
44,911,Cheese
44,911,Apples
44,911,Milk
44,911,Water
45,174,Butter
45,174,Tomatoes
45,174,Cola
45,174,Chips
45,174,Apples
46,372,Chicken
46,372,Tomatoes
46,372,Cola
46,372,Water
47,830,Juice
47,830,Apples
47,830,Bananas
48,256,Cereal
48,256,Bananas
48,256,Diaper
48,256,Butter
48,256,Beer
49,636,Lettuce
49,636,Bread
49,636,Tomatoes
49,636,Yogurt
49,636,Chicken
50,765,Chips
51,821,Tomatoes
51,821,Bananas
51,821,Chicken
51,821,Diaper
51,821,Rice
52,108,Bananas
52,108,Apples
53,90,Beer
53,90,Butter
53,90,Apples
54,460,Cola
54,460,Juice
54,460,Cereal
54,460,Apples
54,460,Milk
55,644,Rice
55,644,Bananas
55,644,Juice
56,633,Chicken
57,520,Butter
57,520,Yogurt
58,961,Bread
58,961,Butter
58,961,Milk
58,961,Cereal
58,961,Diaper
59,90,Eggs
60,783,Cheese
61,578,Juice
61,578,Cheese
61,578,Pasta
61,578,Yogurt
61,578,Eggs
62,157,Tomatoes
62,157,Diaper
62,157,Juice
62,157,Eggs
62,157,Yogurt
63,900,Bananas
63,900,Juice
63,900,Bread
63,900,Lettuce
63,900,Cheese
64,139,Water
65,397,Beer
65,397,Cheese
